id	rate	rateb	ratea	zhigh	zbach	zadv	nhigh	nbach	nadv	state
1	0.068	0.03	0.008	75.3	19	6.9	82.1	22	7.7	Alabama
2	0.031	0.019	0.004	88.3	24.7	8.6	91.4	26.6	9	Alaska
4	0.032	0.021	0.009	81	23.5	8.4	84.2	25.6	9.3	Arizona
5	0.071	0.022	0.004	75.3	16.7	5.7	82.4	18.9	6.1	Arkansas
6	0.038	0.033	0.012	76.8	26.6	9.5	80.6	29.9	10.7	California
8	0.024	0.032	0.016	86.9	32.7	11.1	89.3	35.9	12.7	Colorado
9	0.046	0.042	0.022	84	31.4	13.3	88.6	35.6	15.5	Connecticut
10	0.048	0.037	0.02	82.6	25	9.4	87.4	28.7	11.4	Delaware
11	0.093	0.094	0.07	77.8	39.1	21	87.1	48.5	28	District of Columbia
12	0.054	0.03	0.009	79.9	22.3	8.1	85.3	25.3	9	Florida
13	0.053	0.032	0.016	78.6	24.3	8.3	83.9	27.5	9.9	Georgia
15	0.058	0.034	0.015	84.6	26.2	8.4	90.4	29.6	9.9	Hawaii
16	0.037	0.022	0.007	84.7	21.7	6.8	88.4	23.9	7.5	Idaho
17	0.05	0.045	0.022	81.4	26.1	9.5	86.4	30.6	11.7	Illinois
18	0.045	0.031	0.009	82.1	19.4	7.2	86.6	22.5	8.1	Indiana
19	0.084	0.039	0.009	86.1	21.2	6.5	90.5	25.1	7.4	Iowa
20	0.037	0.037	0.015	86	25.8	8.7	89.7	29.5	10.2	Kansas
21	0.076	0.039	0.016	74.1	17.1	6.9	81.7	21	8.5	Kentucky
22	0.074	0.027	0.004	74.8	18.7	6.5	82.2	21.4	6.9	Louisiana
23	0.048	0.04	0.017	85.4	22.9	7.9	90.2	26.9	9.6	Maine
24	0.044	0.043	0.026	83.8	31.4	13.4	88.2	35.7	16	Maryland
25	0.042	0.05	0.027	84.8	33.2	13.7	89	38.2	16.4	Massachusetts
26	0.045	0.028	0.013	83.4	21.8	8.1	87.9	24.6	9.4	Michigan
27	0.036	0.041	0.02	87.9	27.4	8.3	91.5	31.5	10.3	Minnesota
28	0.075	0.027	0.013	72.9	16.9	5.8	80.4	19.6	7.1	Mississippi
29	0.055	0.036	0.019	81.3	21.6	7.6	86.8	25.2	9.5	Missouri
30	0.036	0.03	0.011	87.2	24.4	7.2	90.8	27.4	8.3	Montana
31	0.032	0.037	0.015	86.6	23.7	7.3	89.8	27.4	8.8	Nebraska
32	0.032	0.036	0.015	80.7	18.2	6.1	83.9	21.8	7.6	Nevada
33	0.039	0.033	0.012	87.4	28.7	10	91.3	32	11.2	New Hampshire
34	0.053	0.047	0.019	82.1	29.8	11	87.4	34.5	12.9	New Jersey
35	0.039	0.018	0.006	78.9	23.5	9.8	82.8	25.3	10.4	New Mexico
36	0.056	0.05	0.022	79.1	27.4	11.8	84.7	32.4	14	New York
37	0.062	0.04	0.016	78.1	22.5	7.2	84.3	26.5	8.8	North Carolina
38	0.062	0.038	0.012	83.9	22	5.5	90.1	25.8	6.7	North Dakota
39	0.046	0.03	0.014	83	21.1	7.4	87.6	24.1	8.8	Ohio
40	0.05	0.024	0.006	80.6	20.3	6.8	85.6	22.7	7.4	Oklahoma
41	0.04	0.041	0.017	85.1	25.1	8.7	89.1	29.2	10.4	Oregon
42	0.06	0.04	0.018	81.9	22.4	8.4	87.9	26.4	10.2	Pennsylvania
44	0.067	0.049	0.02	78	25.6	9.7	84.7	30.5	11.7	Rhode Island
45	0.073	0.039	0.015	76.3	20.4	6.9	83.6	24.3	8.4	South Carolina
46	0.053	0.036	0.013	84.6	21.5	6	89.9	25.1	7.3	South Dakota
47	0.072	0.034	0.011	75.9	19.6	6.8	83.1	23	7.9	Tennessee
48	0.042	0.023	0.009	75.7	23.2	7.6	79.9	25.5	8.5	Texas
49	0.027	0.024	0.008	87.7	26.1	8.3	90.4	28.5	9.1	Utah
50	0.046	0.037	0.022	86.4	29.4	11.1	91	33.1	13.3	Vermont
51	0.051	0.045	0.025	81.5	29.5	11.6	86.6	34	14.1	Virginia
53	0.026	0.033	0.018	87.1	27.7	9.3	89.7	31	11.1	Washington
54	0.076	0.025	0.008	75.2	14.8	5.9	82.8	17.3	6.7	West Virginia
55	0.047	0.033	0.012	85.1	22.4	7.2	89.8	25.7	8.4	Wisconsin
56	0.039	0.019	0.009	87.9	21.9	7	91.8	23.8	7.9	Wyoming
